"","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$"
"China","230.62","202.98","190.11","180.47","158.83","143.19","138.17","132.73","125.84","111.94","96.54","77.25","71.83","63.57","50.72","46.36","42.28","37.93","34.48","31.52","28.61","25.85"
"Colombia","76.21","67.05","73.80","78.25","76.09","69.80","72.17","95.53","99.47","97.55","76.78","76.86","69.09","78.97","59.50","42.98","34.33","21.90","11.13","15.14","18.49","18.38"
"Comoros","55.03","54.68","48.10","50.05","47.58","45.00","45.64","55.21","55.39","52.18","51.85","55.59","58.40","61.48","57.17","52.26","51.66","51.52","46.71","38.94","36.82","37.89"
"Congo","19.38","20.36","24.84","23.96","24.02","24.20","18.72","22.29","22.16","21.32","24.59","23.13","24.65","24.14","20.76","17.61","16.17","15.39","13.30","10.50","9.35","9.19"
"Cook Islands","17.54","15.31","18.06","19.88","18.85","16.73","18.24","21.83","21.40","23.58","25.96","22.74","21.47","37.59","36.95","41.34","37.21","41.38","34.12","22.93","18.58","18.65"
"Costa Rica","196.83","193.35","204.24","202.25","181.47","193.33","197.82","200.90","189.73","190.25","191.35","166.06","139.83","150.80","130.96","111.81","101.44","93.02","88.41","84.78","80.72","78.21"
"Croatia","130.09","114.37","119.24","116.68","98.99","92.28","87.07","102.53","78.59","118.16","136.49","157.21","163.25","182.71","129.03","108.65","97.37","115.00","85.24","72.00","55.88","51.43"
"Cuba","","105.81","109.92","108.74","104.88","101.23","94.82","83.29","87.22","78.97","75.28","55.91","54.77","53.92","55.79","55.26","49.28","45.57","46.28","41.46","37.15","29.40"
"Cyprus","296.66","419.74","705.92","896.42","793.75","735.75","696.34","845.33","816.34","804.80","874.94","881.64","1051.13","1107.80","826.76","712.37","680.72","641.97","545.67","469.92","431.88","419.55"
"Czechia","317.97","244.31","254.09","248.72","221.88","205.30","195.33","220.81","220.39","219.59","239.72","215.73","217.07","233.82","151.33","109.72","94.58","79.89","66.42","49.78","41.35","34.97"
"Democratic Republic of the Congo","8.73","8.44","7.64","7.44","7.52","7.42","7.16","7.27","6.26","5.49","4.77","4.65","5.99","7.90","7.65","7.38","6.16","5.87","4.27","3.10","4.09","9.83"
"Denmark","929.99","833.19","835.78","861.62","798.89","760.49","744.51","862.64","845.49","833.56","894.77","845.95","851.41","866.52","796.30","694.20","653.49","623.83","525.08","426.51","393.41","383.30"
"Djibouti","17.82","16.70","19.46","18.77","17.15","16.18","15.35","15.06","14.77","15.08","15.19","14.92","15.33","15.77","16.83","16.77","16.09","15.69","16.05","16.29","16.27","15.86"
"Dominica","114.66","118.54","149.83","149.78","115.55","135.77","135.72","141.08","136.88","145.00","143.04","143.68","149.72","149.17","126.14","108.40","105.62","103.30","97.44","94.76","95.45","85.75"
"Dominican Republic","98.36","87.28","96.82","94.83","95.52","97.01","96.86","97.34","97.71","102.01","104.14","98.87","92.77","95.84","88.31","89.21","91.57","65.89","64.93","82.24","78.58","76.89"
"Ecuador","151.34","149.70","149.84","149.96","152.91","147.47","167.28","143.39","157.69","167.04","157.79","135.54","126.78","126.17","106.41","116.14","105.95","91.62","82.32","61.21","43.59","30.73"
"Egypt","98.65","89.51","90.83","75.27","60.90","85.71","103.16","87.21","82.61","86.92","71.81","67.27","61.17","57.08","45.32","41.10","39.39","33.31","33.75","41.82","44.91","44.39"
"El Salvador","118.24","97.20","142.03","129.77","125.17","116.49","116.03","114.43","120.35","116.63","111.91","101.58","98.15","105.79","99.37","89.32","98.61","82.58","78.04","74.51","73.01","70.36"
"Equatorial Guinea","197.99","185.06","177.07","181.42","169.89","164.98","163.90","200.72","195.91","162.40","163.33","150.04","142.98","137.50","116.25","96.41","90.99","83.46","70.72","65.32","16.76","10.79"
"Eritrea","12.55","11.57","11.64","11.74","10.02","13.75","11.29","16.49","14.39","13.63","12.12","11.84","10.45","6.58","8.11","7.69","7.26","7.65","7.25","6.82","7.83","8.40"
"Estonia","466.09","385.97","384.83","383.15","336.09","291.68","274.78","303.28","282.50","239.31","239.64","221.06","214.10","231.88","199.48","148.47","126.91","109.04","77.98","51.50","41.32","42.71"
"Eswatini","29.19","24.73","27.43","29.50","28.03","24.11","26.70","30.07","32.28","36.13","38.72","36.25","29.43","28.22","30.80","29.64","28.97","25.94","19.94","12.71","13.60","14.40"
"Ethiopia","9.80","9.49","9.95","8.46","8.43","8.74","8.65","8.43","8.28","8.55","6.90","6.94","6.38","5.09","4.36","3.31","2.06","2.02","1.99","1.94","1.92","1.91"
"Fiji","44.63","43.59","48.61","44.90","28.95","36.34","35.69","35.56","35.85","38.23","35.86","28.72","29.96","22.37","22.05","18.28","14.65","14.39","11.17","8.63","8.18","8.13"
"Finland","883.62","779.90","777.13","833.34","806.78","791.91","769.08","868.23","870.54","798.59","856.34","799.47","796.79","833.25","744.48","642.58","633.65","604.55","531.58","427.19","384.15","373.44"
"France","480.23","420.30","425.81","443.36","427.53","409.67","409.18","496.24","489.25","470.03","505.02","470.03","481.66","482.17","410.89","356.72","263.44","250.62","221.76","174.86","160.85","157.24"
"Gabon","50.92","45.44","48.09","48.82","48.80","47.11","48.81","65.94","75.14","63.38","72.87","53.04","143.46","141.32","128.45","108.81","99.26","91.23","83.70","71.61","61.57","65.61"
"Gambia","5.02","4.56","4.62","5.13","5.65","6.24","4.55","4.60","5.30","5.70","5.93","5.92","5.86","6.57","5.41","4.37","3.84","3.18","3.34","4.77","4.86","6.08"
"Georgia","130.14","127.92","144.31","158.20","166.45","178.26","168.73","243.54","247.23","256.12","239.56","210.58","189.28","190.53","150.63","119.36","106.96","84.89","64.96","51.81","43.76","42.95"
"Germany","805.81","736.57","737.51","725.77","654.92","614.86","605.26","690.59","679.47","675.42","705.59","643.89","649.64","659.32","602.95","536.57","502.43","485.21","404.83","322.87","288.27","288.14"
"Ghana","27.25","24.64","26.31","27.72","27.15","24.37","27.83","35.16","40.75","31.98","34.56","19.76","19.19","22.92","21.06","17.84","14.76","12.30","11.87","10.71","8.99","8.56"
"Greece","615.19","560.13","527.86","578.39","528.35","519.17","533.82","632.58","618.12","593.22","728.77","724.66","828.76","914.88","830.52","739.96","713.63","694.56","593.66","436.91","349.46","321.16"
"Grenada","271.28","253.55","265.36","241.01","238.89","218.95","210.19","191.38","223.47","220.07","213.43","207.28","201.97","218.32","196.93","169.97","157.68","138.66","154.29","157.21","152.17","153.82"
"Guatemala","207.92","162.75","155.96","152.81","143.55","137.97","130.07","120.44","108.33","116.84","112.29","103.04","96.12","103.40","97.60","91.38","82.45","73.08","69.62","66.61","62.12","49.17"
"Guinea","23.89","23.79","25.27","23.70","21.33","19.37","21.69","21.64","16.23","14.97","14.65","15.85","17.40","16.50","16.36","11.58","13.95","18.57","16.19","14.92","13.96","15.01"
"Guinea-Bissau","41.27","38.40","37.53","39.38","37.45","36.51","35.06","35.96","29.60","22.16","16.01","14.04","14.25","16.32","12.30","11.71","11.15","9.95","8.48","8.07","8.60","8.09"
"Guyana","135.17","91.39","111.24","100.84","77.49","71.04","76.88","78.00","80.48","78.77","64.96","56.63","49.40","49.03","41.52","34.73","30.02","27.82","26.32","26.33","25.55","25.30"
"Haiti","25.20","20.72","19.16","24.10","24.33","21.11","23.18","20.12","21.44","21.27","20.04","18.49","16.19","15.53","15.01","12.47","11.56","11.11","8.89","10.71","12.30","13.38"
"Honduras","131.29","106.44","96.56","92.63","83.70","88.07","85.58","83.40","86.21","90.96","82.70","75.66","71.20","75.79","62.80","55.27","47.47","41.22","38.05","36.25","34.85","31.09"
"Hungary","340.44","306.67","292.95","289.44","268.43","253.13","239.29","285.36","281.19","282.55","300.35","269.82","247.90","301.10","271.02","223.72","230.98","206.58","180.24","130.41","103.83","85.68"
"Iceland","983.75","846.44","911.78","993.50","977.92","846.04","753.25","806.87","742.76","698.13","723.58","674.05","611.01","772.35","955.29","832.92","892.86","781.00","667.18","526.86","456.92","514.14"
"India","36.88","31.66","31.70","30.72","31.36","37.90","37.73","37.91","38.45","30.63","30.07","29.27","25.45","26.06","25.25","21.24","20.12","18.06","16.07","14.78","14.62","13.23"
"Indonesia","44.16","42.24","41.91","39.89","40.81","41.42","41.82","46.63","52.62","57.32","60.74","52.32","31.00","29.52","28.00","23.92","19.04","12.03","11.84","8.88","6.89","7.02"
"Iran (Islamic Republic of)","135.48","126.17","147.18","172.02","187.73","185.11","169.88","158.35","208.52","282.20","298.44","259.05","204.18","165.05","130.38","102.23","97.49","80.41","63.21","57.87","55.87","48.25"
"Iraq","124.23","134.18","120.02","116.41","113.67","87.93","112.99","110.43","108.79","106.93","40.25","37.36","31.10","29.44","29.44","18.31","15.25","14.68","14.57","","",""
"Ireland","722.98","666.58","662.77","652.74","631.72","618.74","616.26","747.86","745.64","713.11","758.73","708.19","698.90","668.93","562.21","577.68","533.74","425.60","382.74","230.31","194.17","189.61"
